uid,species,gene_names,description,term_ids,gene_display_name,color
5009,ath,AT3G56580|RZF1|AtRZF1|RING Zinc Finger 1|T5P19.5,Proline content significantly lower than atrzf1 single mutant. The addition of the pca22 dominant mutation suppresses the dehydration- and ABA-insensitive phenotype of the atrzf1 mutant.,GO:0004842|GO:0005575|GO:1902006|GO:0009414|PO:0000013|PO:0000037|PO:0008019|PO:0009005|PO:0009006|PO:0009009|PO:0009010|PO:0009025|PO:0009030|PO:0009031|PO:0009032|PO:0009046|PO:0009052|PO:0020030|PO:0020038|PO:0020100|PO:0020137|PO:0025022|PO:0000293|PO:0001054|PO:0001078|PO:0001081|PO:0001185|PO:0004507|PO:0007064|PO:0007098|PO:0007103|PO:0007115|PO:0007611|PO:0007616,AT3G56580,#DAF7A6
5048,ath,AT3G61890|HB-12|ATHB-12|ATHB12|HB12|homeobox 12|ARABIDOPSIS THALIANA HOMEOBOX 12|F21F14.60,Abnormal leaves and stems. Decreased sensitivity to ABA in a root elongation assay with respect to wild type.  The response was consistently approximately 10% less than the wild-type response.,GO:0009651|GO:0045893|GO:0009737|GO:0006970|GO:0009414|GO:0009615|GO:0005634|PO:0000016|PO:0000017|PO:0006343|PO:0009053|PO:0000013|PO:0000037|PO:0000230|PO:0008019|PO:0009005|PO:0009006|PO:0009009|PO:0009010|PO:0009025|PO:0009029|PO:0009030|PO:0009031|PO:0009032|PO:0009046|PO:0009047|PO:0009052|PO:0020030|PO:0020038|PO:0020100|PO:0020137|PO:0025022|PO:0025281|PO:0009001|PO:0000293|PO:0001054|PO:0001078|PO:0001081|PO:0001185|PO:0004507|PO:0007064|PO:0007095|PO:0007098|PO:0007103|PO:0007115|PO:0007123|PO:0007611|PO:0007616,AT3G61890,#DAF7A6
7316,ath,GPX,"plant appears to have spaces in the xylem in a position that is normally occupied by xylem elements; irregular pattern of secondary cell wall formation in the interfascicular region, with some cells possessing very thick secondary cell wall, with other cells failing to initiate any kind of secondary cell wall.",GO:0005575|GO:0006979|GO:0003674|GO:0009834,GPX,#DAF7A6
4155,ath,AT1G48360|FAN1|Fanconi/FANCD2 associ- ated nuclease I|F11A17.9|F11A17_9,"Defective in interstrand cross link repair. Hypersensitivity against MMC and cisplatin. Significantly increased sensitivity against cisplatin, sensitivity to MMC.",PO:0000013|PO:0000037|PO:0000230|PO:0008019|PO:0009005|PO:0009006|PO:0009009|PO:0009010|PO:0009025|PO:0009029|PO:0009030|PO:0009031|PO:0009032|PO:0009046|PO:0009047|PO:0009052|PO:0020030|PO:0020038|PO:0020100|PO:0020137|PO:0025022|PO:0025281|PO:0000084|PO:0025195|PO:0000293|PO:0001054|PO:0001078|PO:0001081|PO:0001185|PO:0004507|PO:0007064|PO:0007095|PO:0007098|PO:0007103|PO:0007115|PO:0007123|PO:0007611|PO:0007616|PO:0001016|PO:0001017,AT1G48360,#DAF7A6
5514,ath,AT5G19040|IPT5|ATIPT5|Arabidopsis thaliana ISOPENTENYLTRANSFERASE 5|isopentenyltransferase 5|T16G12.80|T16G12_80,"No visible phenotype. Decreased levels of isopentenyladenosine riboside (iPR) and isopentenyladenosine monophosphate (iPRMP) compared to wild type. Increased levels of cis-zeatin riboside (cZR) and cis-zeatin riboside monophosphate (cZRMP) compared to wild type. Decreases in free-base iP and tZ are moderate compared to those of the riboside and ribotide forms. External application of <i>trans</i>-zeatin partially rescues the growth of aerial parts of the mutant, and reduced its lateral root elongation. Fewer rosette leaves than wild type indicating a prolonged plastochron. Flowering time is delayed when grown on vermiculite but not on nutrient agar. Indistinguishable from wild type in the early stages of development. Phenotypic differences become evident as the plant age. Levels of iPRMP, iPR, tZRMP, tZR. tZ-7-glucoside, tZ-9-glucoside and tZ-O-glucoside are all reduced to less than 20% of those of wild type. Rduced shoot apical meristem size and thin inflorescence stems. Reduced cambial activity and reduced secondary growth in both shoots and roots. Relative to wild type, both the number of lateral roots (longer than 1cm) and the total length of the lateral roots are increased. Short and thin aerial parts. Some seeds are aborted but surviving ones are larger than those of wild type. Thin, small plants. Enhanced root growth rate resulting in longer roots. Mutant root meristems showed an increased number of meristematic cells already at two days after germination (dpg) and accumulated cells also after five dpg, vastly exceeding the fixed number of cells of wild-type meristems.",GO:0009691|GO:0009536|GO:0009824|PO:0009005,AT5G19040,#DAF7A6
1437,ath,At4g15570|MAA3|AT4G15570|MAGATAMA 3|DL3825W|FCAALL.334,"Female gametophyte defective. Male gametophyte defective. Rare embryo defective (inferred). Homozygotes are not recovered. Female gametophyte development is delayed and asynchronous. During fertilization, fusion of polar nuclei does not occur. Polar nuclei nucloeli are smaller than WT.",GO:0009553|GO:0009875|GO:0010183|PO:0000013|PO:0000037|PO:0000230|PO:0008019|PO:0009005|PO:0009006|PO:0009009|PO:0009010|PO:0009025|PO:0009029|PO:0009030|PO:0009031|PO:0009032|PO:0009046|PO:0009047|PO:0009052|PO:0020030|PO:0020038|PO:0020100|PO:0020137|PO:0025022|PO:0025281|PO:0009001|PO:0000293|PO:0001054|PO:0001078|PO:0001081|PO:0001185|PO:0004507|PO:0007064|PO:0007095|PO:0007098|PO:0007103|PO:0007115|PO:0007123|PO:0007611|PO:0007616,At4g15570,#DAF7A6
1666,ath,At4g34830|PDE346|AT4G34830|MRL1|MATURATION OF RBCL 1|PIGMENT DEFECTIVE 346|F11I11.70|F11I11_70,Pigment defective embryo.,GO:0048255|GO:0009507|PO:0000013|PO:0000037|PO:0000230|PO:0008019|PO:0009006|PO:0009009|PO:0009010|PO:0009025|PO:0009029|PO:0009030|PO:0009031|PO:0009032|PO:0009046|PO:0009047|PO:0009052|PO:0020030|PO:0020038|PO:0020100|PO:0020137|PO:0025022|PO:0025281|PO:0000293|PO:0001054|PO:0001078|PO:0001081|PO:0001185|PO:0004507|PO:0007064|PO:0007095|PO:0007098|PO:0007103|PO:0007115|PO:0007123|PO:0007611|PO:0007616,At4g34830,#DAF7A6
6392,ath,EMB1617,embryo defective; terminal embryo phenotype: preglobular stage.,GO:0003674|GO:0005575|GO:0008150,EMB1617,#DAF7A6
5355,ath,AT4G37770|ACS8|1-amino-cyclopropane-1-carboxylate synthase 8|T28I19.50|T28I19_50,"increased hypocotyl length in etiolated seedlings, the absence of hook curvature in etiolated seedlings, less sensitive to hypocotyl gravistimulation, reduced cotyledon size, delayed growth during initial developmental stages, increased mature plant height, smaller leaf blade with downward curling tip , reduced branching, delayed senescence, slightly early flowering, decreased expression of FLC, increased expression of FT, reduced number of rosette leaves, decreased ethylene production, enhanced susceptibility to Botrytis cinerea.",GO:0042802|GO:0005515|GO:0016847|PO:0009025|PO:0025022|PO:0025281|PO:0000293|PO:0007095|PO:0007103|PO:0007115|PO:0007123,AT4G37770,#DAF7A6
1620,ath,At3g19040|HAF2|AT3G19040|AT1G32750|TAF1|TAF1B|TBP-ASSOCIATED FACTOR 1|TBP-ASSOCIATED FACTOR 1B|histone acetyltransferase of the TAFII250 family 2|K13E13.15|HAF01|HAF1|HAC13|GTD1|HISTONE ACETYLTRANSFERASE OF THE TAFII250 FAMILY 1|HISTONE ACETYLTRANSFERASE OF THE CBP FAMILY  13|F6N18.13|F6N18_13|GTD01|AT3G19040.1|AT1G32750.1,"Pale green cotyledons. Yellow early leaves. Cotyledons of seven day old plants are paler than those of Col-0, with a 35-40% and 50% reduction in chlorophyll a and chlorophyll b contents compared with Col-0.  Induction of expression of light responsive genes RBCS-1A and CAB2 during germination is seriously impaired. Cotyledons of seven day old plants are paler than those of Ws, with a 35-40% and 50% reduction in chlorophyll a and chlorophyll b contents compared with Ws. Newly produced youg leaves and shoots are yellowish.  During expansion, the leaves become gradually greener from the base to the distal end.  Induction of expression of light responsive genes RBCS-1A and CAB2 during germination is seriously impaired.",GO:0009294|GO:0009416|GO:0016573|GO:0016020|PO:0009006|PO:0009046|PO:0009005|PO:0009025|PO:0009049|PO:0000013|PO:0000037|PO:0000230|PO:0008019|PO:0009009|PO:0009010|PO:0009029|PO:0009030|PO:0009031|PO:0009032|PO:0009047|PO:0009052|PO:0020030|PO:0020038|PO:0020100|PO:0020137|PO:0025022|PO:0025281|PO:0000005|PO:0000084|PO:0025195|PO:0000293|PO:0001054|PO:0001078|PO:0001081|PO:0001185|PO:0004507|PO:0007064|PO:0007095|PO:0007098|PO:0007103|PO:0007115|PO:0007123|PO:0007611|PO:0007616|PO:0001016|PO:0001017,At3g19040,#DAF7A6
7501,ath,PDE268,pigment defective embryo; pale mature embryo.,GO:0005575|GO:0008150|GO:0003674,PDE268,#DAF7A6
6843,ath,EMB2244,embryo defective; terminal embryo phenotype: cotyledon stage.,GO:0005575|GO:0003674|GO:0008150,EMB2244,#DAF7A6
4202,ath,AT1G54280|ALA6|Aminophospholipid ATPase 6|F20D21.10|F20D21_10|AT1G54280.1,"Homozygotes show increased susceptibility to high temperature stress. Pollen tubes are short and pollen tube growth is slow. Reduced seed set, pollen defective.",GO:0008270|PO:0000230|PO:0009031|PO:0009032|PO:0009046|PO:0025022|PO:0025281|PO:0000005|PO:0025195|PO:0007611|PO:0007616|PO:0001016|PO:0001017,AT1G54280,#DAF7A6
5255,ath,"AT4G24770|RBP31|ATRBP31|CP31|ATRBP33|31-kDa RNA binding protein|ARABIDOPSIS THALIANA RNA BINDING PROTEIN, APPROXIMATELY 31 KD|F6I7.11|STEP1|AT4G24770.1",defective in RNA editing; defective in postillumination reduction of the plastoquinone pool;,GO:0009535|GO:0009941|GO:0009570|GO:0016553|GO:0009507|GO:0045087|GO:0009451|GO:0009631|GO:0008266|GO:0043489|GO:0003723|GO:0009579|PO:0000013|PO:0000037|PO:0000230|PO:0008019|PO:0009005|PO:0009006|PO:0009009|PO:0009010|PO:0009025|PO:0009029|PO:0009030|PO:0009031|PO:0009032|PO:0009046|PO:0009047|PO:0009052|PO:0020030|PO:0020038|PO:0020100|PO:0020137|PO:0025022|PO:0025281|PO:0009001|PO:0000005|PO:0006339|PO:0000293|PO:0001054|PO:0001078|PO:0001081|PO:0001185|PO:0004507|PO:0007064|PO:0007095|PO:0007098|PO:0007103|PO:0007115|PO:0007123|PO:0007611|PO:0007616|PO:0007131,AT4G24770,#DAF7A6
4609,ath,AT2G39460|RPL23AA|ATRPL23A|RPL23A|RPL23A1|ARABIDOPSIS THALIANA RIBOSOMAL PROTEIN L23A|RIBOSOMAL PROTEIN L23A|ribosomal protein L23AA|RIBOSOMAL PROTEIN L23A1|F12L6.12|F12L6_12|AT2G39460.1,same as smb-3 single mutant. WT phenotype. RT-PCR confirmed that RPL23aA and RPL23aB transcript levels are similar between WT and homozygotes.,GO:0022625|GO:0022626|GO:0005829|GO:0009409|GO:0005730|GO:0009506|GO:0006979|GO:0005618|GO:0009644|PO:0000013|PO:0000037|PO:0000230|PO:0008019|PO:0009005|PO:0009006|PO:0009009|PO:0009010|PO:0009025|PO:0009029|PO:0009030|PO:0009031|PO:0009032|PO:0009046|PO:0009047|PO:0009052|PO:0020030|PO:0020038|PO:0020100|PO:0020137|PO:0025022|PO:0025281|PO:0009001|PO:0000084|PO:0025195|PO:0000293|PO:0001054|PO:0001078|PO:0001081|PO:0001185|PO:0004507|PO:0007064|PO:0007095|PO:0007098|PO:0007103|PO:0007115|PO:0007123|PO:0007611|PO:0007616,AT2G39460,#DAF7A6
5371,ath,AT4G39910|UBP3|ATUBP3|ubiquitin-specific protease 3|T5J17.80|T5J17_80,No visible phenotype.,GO:0006499|GO:0004843|GO:0005634|PO:0000013|PO:0000037|PO:0000230|PO:0008019|PO:0009005|PO:0009006|PO:0009009|PO:0009010|PO:0009025|PO:0009029|PO:0009030|PO:0009031|PO:0009032|PO:0009046|PO:0009047|PO:0009052|PO:0020030|PO:0020038|PO:0020100|PO:0020137|PO:0025022|PO:0025281|PO:0025195|PO:0000293|PO:0001054|PO:0001078|PO:0001081|PO:0001185|PO:0004507|PO:0007064|PO:0007095|PO:0007098|PO:0007103|PO:0007115|PO:0007123|PO:0007611|PO:0007616|PO:0001016|PO:0001017,AT4G39910,#DAF7A6
7460,ath,PDE212,pigment defective embryo; albino embryo.,GO:0003674|GO:0008150|GO:0005575,PDE212,#DAF7A6
5552,ath,AT5G24360|IRE1-1|ATIRE1-1|AtIRE1b|IRE1B|ARABIDOPSIS THALIANA INOSITOL REQUIRING 1-1|inositol requiring 1-1|K16H17.7|K16H17_7,"bZIP60 mRNA splicing is detectable in ire1b-1 (GABI_638B07), whereas it is completely abolished in ire1a-2 (SALK_018112)/ire1b-1 (GABI_638B07) double mutant. IRE1-1 transcript levels appear to be the same in ire1-1/IRE1-1 heterozygous and IRE1-1 homozygous (i.e. wild-type) plants. However, when heterozygotes are selfed, no ire1-1 homozygous mutants are recovered. bZIP60 mRNA splicing is completely abolished in ire1a-2 (SALK_018112)/ire1b-1 (GABI_638B07) double mutant whereas it is still detectable in ire1a-2 and ire1b-1 single mutants. ire1a-2/ire1b-1 double mutant is much more sensitive to tunicamycin than wild-type and ire1a-2 and ire1b-1 single mutant plants.  Induction of a number of ER stress-inducible genes is much weaker in the ire1a-2/ire1b-1 double mutant than in the wild-type.",GO:0034263|GO:0005783|GO:0009816|GO:0000394|GO:0008380|GO:0030968|GO:0004521|GO:0009751|PO:0000013|PO:0000037|PO:0000230|PO:0008019|PO:0009005|PO:0009006|PO:0009009|PO:0009010|PO:0009025|PO:0009029|PO:0009030|PO:0009031|PO:0009032|PO:0009046|PO:0009047|PO:0009052|PO:0020030|PO:0020038|PO:0020100|PO:0020137|PO:0025022|PO:0025281|PO:0000084|PO:0025195|PO:0000293|PO:0001054|PO:0001078|PO:0001081|PO:0001185|PO:0004507|PO:0007064|PO:0007095|PO:0007098|PO:0007103|PO:0007115|PO:0007123|PO:0007611|PO:0007616|PO:0001016|PO:0001017,AT5G24360,#DAF7A6
6408,ath,EMB1636,embryo defective; terminal embryo phenotype: globular stage.,GO:0008150|GO:0005575|GO:0003674,EMB1636,#DAF7A6
522,ath,At1g02730|ATCSLD5|AT1G02730|CSLD5|SOS6|cellulose synthase-like D5|CELLULOSE SYNTHASE LIKE D5|SALT OVERLY SENSITIVE 6|T14P4.29,Dwarf. Short roots. Small rosette.,GO:0010583|GO:0009414|GO:0051753|GO:0005794|GO:0009651|GO:0048367|GO:0006970|PO:0000013|PO:0000037|PO:0000230|PO:0008019|PO:0009005|PO:0009006|PO:0009009|PO:0009010|PO:0009025|PO:0009029|PO:0009030|PO:0009031|PO:0009032|PO:0009046|PO:0009052|PO:0020030|PO:0020038|PO:0020100|PO:0020137|PO:0025022|PO:0005598|PO:0000293|PO:0001054|PO:0001078|PO:0001081|PO:0001185|PO:0004507|PO:0007064|PO:0007095|PO:0007098|PO:0007103|PO:0007115|PO:0007123|PO:0007611|PO:0007616,At1g02730,#DAF7A6
6781,ath,EMB2152,embryo defective; terminal embryo phenotype: globular stage.,GO:0003674|GO:0008150|GO:0005575,EMB2152,#DAF7A6
2300,ath,At1g16150|WAKL4|AT1G16150|wall associated kinase-like 4|T24D18.23|T24D18_23,"Resistant to nickel. Sensitive to copper. Sensitive to potassium. Sensitive to sodium. Sensitive to zinc. Short roots. Seedlings consistently show retarded root growth when grown in full- or one-half-strength MS nutrients and are hypersensitive, as assayed by a root elongation assay, to Na+, K+, Zn2+ and Cu2+.",GO:0010045|GO:0005886|GO:0009986|GO:0009505|GO:0010043|GO:0046686|PO:0009005,At1g16150,#DAF7A6
3930,ath,AT1G05630|5PTASE13|AT5PTASE13|Arabidopsis thaliana inositol-polyphosphate 5-phosphatase 13|inositol-polyphosphate 5-phosphatase 13|F3F20.8|F3F20_8,"Compared to wild-type plants, cotyledon veins of At5pt13-1 were with altered numbers (4%), in incorrect vein orientation (16.3%), with additional or altered loops (1.7%), with branches (1.3%), with intersections (1.3%) and fusions (5.3%) of the distal and proximal secondary veins, or  with acute angles (3.3%). In addition, the  cotyledon veins of At5pt13-1 were asymmetric, with flexed secondary veins and often multiple abnormalities,  such as asymmetry, abnormal caecal orientation, or  flex (10.7%). Statistical analyses revealed that around  64.7% of the total cotyledons showed obvious abnormality,  while the ratio of seedlings with abnormal cotyledons  reaches to approximately 90%.",GO:0010182|GO:0052658|GO:0009737|GO:0007584|GO:0010087|GO:0046855|GO:0009637|GO:0009611|GO:0005634|GO:0048364|GO:0010252|GO:0009743|PO:0000013|PO:0000037|PO:0000230|PO:0008019|PO:0009005|PO:0009006|PO:0009009|PO:0009010|PO:0009025|PO:0009029|PO:0009030|PO:0009031|PO:0009032|PO:0009046|PO:0009047|PO:0009052|PO:0020030|PO:0020038|PO:0020100|PO:0020137|PO:0025022|PO:0025281|PO:0025195|PO:0000256|PO:0000262|PO:0000293|PO:0001054|PO:0001078|PO:0001081|PO:0001185|PO:0004507|PO:0007064|PO:0007095|PO:0007098|PO:0007103|PO:0007115|PO:0007123|PO:0007611|PO:0007616|PO:0007131|PO:0001016|PO:0001017,AT1G05630,#DAF7A6
1336,ath,At1g05990|RHS1|At1g12950|RHS2|AT1G05990|AT1G12950|AtDTX31|ROOT HAIR SPECIFIC 2|F13K23.21|F13K23_21|ROOT HAIR SPECIFIC 1|T21E18.4|T21E18_4,Long root hairs. Short root hairs.,GO:0005575|PO:0009005|PO:0000084|PO:0000256|PO:0000262,At1g05990,#DAF7A6
6752,ath,EMB2122,embryo defective; terminal embryo phenotype: transition stage.,GO:0003674|GO:0008150|GO:0005575,EMB2122,#DAF7A6
1065,ath,At3g26420|AtRZ-1a,Germination sensitive to low temperature. Seedling growth sensitive to low temperature.,,At3g26420,#DAF7A6
2085,ath,At1g80420|XRCC1|AT1G80420|ATXRCC1|homolog of X-ray repair cross complementing 1|T21F11.25|T21F11_25,Sensitive to gamma rays.,GO:1901969|GO:0010385|GO:1901972|GO:0080111|GO:0006266|PO:0000013|PO:0000037|PO:0000230|PO:0008019|PO:0009005|PO:0009006|PO:0009009|PO:0009010|PO:0009025|PO:0009029|PO:0009030|PO:0009031|PO:0009032|PO:0009046|PO:0009047|PO:0009052|PO:0020030|PO:0020038|PO:0020100|PO:0020137|PO:0025022|PO:0025281|PO:0000084|PO:0000293|PO:0001054|PO:0001078|PO:0001081|PO:0001185|PO:0004507|PO:0007064|PO:0007095|PO:0007098|PO:0007103|PO:0007115|PO:0007123|PO:0007611|PO:0007616,At1g80420,#DAF7A6
6666,ath,EMB20,"developmental arrest of mutant embryos occurs at transition, globular-heart-elongate stage; white seeds; white embryo; 26.7% mutant; 50.7% aborted seeds in top half of silique. developmental arrest of mutant embryos occurs at transition, globular-heart-elongate stage; white seeds; white embryo; 24.3% mutant; 50.7% aborted seeds in top half of silique. developmental arrest of mutant embryos occurs at cotyledon stage (globular-cotyledon); white to pale yellow-green seeds; white to pale yellow-green embryo; 25% mutant; 52% aborted seeds in top half of silique.",GO:0005575|GO:0009793|GO:0003674,EMB20,#DAF7A6
4779,ath,AT3G11030|TBL32|TRICHOME BIREFRINGENCE-LIKE 32|F9F8.15,No obvious visible phenotype. Severely collapsed vessels and stunted plant growth.,PO:0000293|PO:0005352,AT3G11030,#DAF7A6
2513,ath,At2g46590|DAG2|AT2G46590|DOF AFFECTING GERMINATION 2|F13A10.12,Low germination rate at low temperature. Low germination rate in the dark. Tall inflorescence stems.,GO:0009416|GO:0009409|GO:0009845|PO:0000034|PO:0000013|PO:0000037|PO:0000230|PO:0008019|PO:0009005|PO:0009006|PO:0009009|PO:0009010|PO:0009025|PO:0009029|PO:0009030|PO:0009031|PO:0009032|PO:0009046|PO:0009047|PO:0009052|PO:0020030|PO:0020038|PO:0020100|PO:0020137|PO:0025022|PO:0025281|PO:0000293|PO:0001054|PO:0001078|PO:0001081|PO:0001185|PO:0004507|PO:0007064|PO:0007095|PO:0007098|PO:0007103|PO:0007115|PO:0007611|PO:0007616,At2g46590,#DAF7A6
2003,ath,At1g16610|SR45|AT1G16610|RNPS1|AtSR45|arginine/serine-rich 45|F19K19.9|F19K19_9|ARGININE/SERINE-RICH PROTEIN SR45|AT1G16610.1|AT1G16610.2,Abnormal flower morphology. Abnormal leaf morphology. Abnormal seedling growth in response to glucose. Increased branching. Late flowering. Semi-dwarf. Slow root growth.,GO:0005515|GO:0005654|GO:0010182|GO:0016607|GO:0005730|GO:0000398|PO:0000013|PO:0000037|PO:0000230|PO:0008019|PO:0009005|PO:0009006|PO:0009009|PO:0009010|PO:0009025|PO:0009029|PO:0009030|PO:0009031|PO:0009032|PO:0009046|PO:0009047|PO:0009052|PO:0020030|PO:0020038|PO:0020100|PO:0020137|PO:0025022|PO:0025281|PO:0000005|PO:0000293|PO:0001054|PO:0001078|PO:0001081|PO:0001185|PO:0004507|PO:0007064|PO:0007095|PO:0007098|PO:0007103|PO:0007115|PO:0007123|PO:0007611|PO:0007616,At1g16610,#DAF7A6
7335,ath,HAP28,"Distorted segregation, reduced transmission through the male gametophyte (MG), does not appreciably affect the female gametophyte (FG); strong, but not complete impact on pollen function; short pollen tube growth, failing to exit the style.",GO:0008150|GO:0005575|GO:0003674,HAP28,#DAF7A6
7470,ath,PDE224,pigment defective embryo; albino embryo.,GO:0003674|GO:0008150|GO:0005575,PDE224,#DAF7A6
5451,ath,AT5G10510|AIL6|PLT3|AINTEGUMENTA-like 6|PLETHORA 3|F12B17.140|F12B17_140,Short roots and shortened root meristem. Rootless.Embryonic root differentiates 3 days after germination. Adventitious roots arrest 6 days after germination.,GO:0009908|GO:0060774|GO:0010492|GO:0005634|GO:0010080|GO:0009887|GO:0048364|GO:0060772|GO:0035265|GO:0060771|PO:0000013|PO:0000037|PO:0000230|PO:0008019|PO:0009005|PO:0009006|PO:0009009|PO:0009010|PO:0009025|PO:0009029|PO:0009030|PO:0009031|PO:0009032|PO:0009046|PO:0009047|PO:0009052|PO:0020038|PO:0020100|PO:0020137|PO:0025022|PO:0000293|PO:0001054|PO:0001078|PO:0001081|PO:0001185|PO:0004507|PO:0007064|PO:0007095|PO:0007098|PO:0007103|PO:0007115|PO:0007123|PO:0007611|PO:0007616,AT5G10510,#DAF7A6
6789,ath,EMB2163,embryo defective; terminal embryo phenotype: globular stage.,GO:0003674|GO:0005575|GO:0008150,EMB2163,#DAF7A6
